id;nome;codigo;situacao;cat_administrativa;dep_administrativa;cep;bairro_id;endereco;zona;lat;long;Telefone;email;extensao;porte
93;EM SAO FRANCISCO DE ASSIS – ITAMOTINGA (NH2);29025982;Ativa;Publica;Municipal;48923-000;;RUA 02, PROJETO CURACA NH2, S/N ITAMOTINGA.;Rural;-9.11589812;-40.06924927;(74) 36189018;;NÃO;Entre 201 e 500 matrículas de escolarização
94;EM SAO JOSE;29026377;Ativa;Publica;Municipal;48921-000;;FAZENDA MATO GROSSO - MANICOBA, S/N;Rural;-9.24311385;-40.29054218;(74) 998183008;;NÃO;Entre 51 e 200 matrículas de escolarização
95;EM SAO SEBASTIAO;29025931;Ativa;Publica;Municipal;48921-000;;POVOADO DE ITAPARICA, S/N MANICOBA.;Rural;-9.109369596;-40.27018265;;;NÃO;Entre 51 e 200 matrículas de escolarização
96;EM VEREADOR AMADEUS DAMASIO;29026520;Ativa;Publica;Municipal;48922-200;;LOCALIDADE SAO GONCALO SALITRE, SALITRE.;Rural;-9.47443285;-40.67809578;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
97;EMEI ADJALVA FERREIRA LIMA;29461375;Ativa;Publica;Municipal;48916-693;;RUA A CAMINHO 3, S/N PIRANGA II.;Urbana;-9.443031667;-40.52233167;;;NÃO;Entre 201 e 500 matrículas de escolarização
98;EMEI AMELIA BORGES DE S MARTINS;29025842;Ativa;Publica;Municipal;48922-000;;RUA DOS VERMELHOS, S/N 48922;Rural;;;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
99;EMEI AMELIA DUARTE;29402140;Ativa;Publica;Municipal;48914-020;;QUADRA 33, S/N JOAO PAULO II.;Urbana;-9.46801011;-40.49962685;(74) 36123354;;NÃO;Entre 201 e 500 matrículas de escolarização
100;EMEI AMERICO TANURY - ABOBORA;29025699;Ativa;Publica;Municipal;48922-700;;RUA BERTOLINO EVANGELISTA DA CUNHA, S/N DISTRITO DE ABOBORA.;Rural;;;(74) 36179072;;NÃO;Entre 51 e 200 matrículas de escolarização
101;EMEI ANA MARIA MORGADO CHAVES;29401220;Ativa;Publica;Municipal;48906-816;;RUA 2 A, 19 C ITABERABA.;Urbana;;;(74) 36123354;;NÃO;Entre 201 e 500 matrículas de escolarização
102;EMEI ANNA HILDA LEITE FARIA;29402120;Ativa;Publica;Municipal;48900-371;;RUA 4, S/N ALTO DA MARAVILHA.;Urbana;-9.43532014;-40.50603155;;;NÃO;Entre 51 e 200 matrículas de escolarização
103;EMEI ARCENIO JOSE DA SILVA;29429790;Ativa;Publica;Municipal;48922-000;;FAZENDA LAGINHA,;Rural;;;(74) 36123354;;NÃO;Até 50 matrículas de escolarização
104;EMEI ARLINDA ALVES VARJAO;29464064;Ativa;Publica;Municipal;48913-300;;AVENIDA AVENIDA EDESIO SANTOS, 91 PEDRO RAIMUNDO.;Urbana;-9.45820826;-40.51274584;(74) 88333869;;NÃO;Entre 201 e 500 matrículas de escolarização
105;EMEI BEATRIZ ANGELICA MOTA FERREIRA DA SILVA;29470820;Ativa;Publica;Municipal;48904-145;;RUA PROF AGOSTINHO JOSE MUNIZ, S/N PREDIO. SAO GERALDO.;Urbana;-9.41859334;-40.49185435;;;NÃO;Entre 201 e 500 matrículas de escolarização
106;EMEI BOLIVAR SANTANA;29026423;Ativa;Publica;Municipal;48920-899;;VILA JUCA VIANA, PROJETO MANDACARU. AREA RURAL DE JUAZEIRO.;Rural;-9.391816;-40.42939;(74) 88054854;;NÃO;Entre 51 e 200 matrículas de escolarização
107;EMEI BOM JESUS DOS NAVEGANTES;29402170;Ativa;Publica;Municipal;48923-000;;RUA FELIPE BARROSO-DISTRITO DE ITAMOTINA, S/N PREDIO.;Rural;-9.0963468;-40.09817242;(74) 36173029;;NÃO;Entre 51 e 200 matrículas de escolarização
108;EMEI CAIC MISAEL AGUILAR;29932777;Ativa;Publica;Municipal;48916-807;;AVENIDA TANCREDO NEVES, S/N MALHADA DA AREIA.;Urbana;-9.44183094;-40.51309568;;;NÃO;Entre 51 e 200 matrículas de escolarização
109;EMEI DILMA CALMON OLIVEIRA;29402190;Ativa;Publica;Municipal;48901-300;;AVENIDA NOSSA SENHORA DE NAZARE, S/N QUIDE.;Urbana;-9.429883682;-40.52301178;;;NÃO;Entre 51 e 200 matrículas de escolarização
110;EMEI EDIVANIA SANTOS CARDOSO;29461189;Ativa;Publica;Municipal;48900-195;;RUA RUA DA LAGOA, S/N JOAO XXIII.;Urbana;-9.435351667;-40.497885;;;NÃO;Entre 51 e 200 matrículas de escolarização
111;EMEI ELEOTERIO SOARES FONSECA;29341744;Ativa;Publica;Municipal;48924-000;;TRAVESSA DA RODOVIA, S/N DISTRITO DE PINHOES.;Rural;-9.578519;-39.89167;;;NÃO;Até 50 matrículas de escolarização
112;EMEI GENTIL DAMASIO NASCIMENTO;29402100;Ativa;Publica;Municipal;48909-241;;AVENIDA IRMA DULCE, 492 ALTO DA ALIANCA.;Urbana;-9.447268143;-40.49836723;(74) 36133763;;NÃO;Entre 201 e 500 matrículas de escolarização
113;EMEI GENTIL DAMASIO NASCIMENTO – EXT;11111111;Ativa;Publica;Municipal;;;;Urbana;;;;;SIM;
114;EMEI HERBET MOUZE RODRIGUES;29026628;Ativa;Publica;Municipal;48922-200;;CAPIM DE RAIZ, S/N CAPIM DE RAIZ. SALITRE.;Rural;-9.55974118;-40.64592107;(74) 988440784;;NÃO;Entre 51 e 200 matrículas de escolarização
115;EMEI IRMA REDENTA;29461340;Ativa;Publica;Municipal;48913-606;;AVENIDA DOS EVANGELICOS, S/N ANTONIO GUILHERMINO.;Urbana;-9.46225241;-40.49498286;(74) 988054502;;NÃO;Entre 201 e 500 matrículas de escolarização
